companyname,numberoftransaction,maxprice,minprice,closingprice,tradedshares,amount,previousclosing,difference,date
Asian Life Insurance Co. Limited,24,1500,1477,1491,4264,6329896,1490,1,2016-05-23
Asian Life Insurance Co. Limited,29,1500,1470,1480,6737,10017480,1491,-11,2016-05-24
Asian Life Insurance Co. Limited,31,1500,1460,1460,5313,7852884,1480,-20,2016-05-25
Asian Life Insurance Co. Limited,16,1475,1412,1470,2250,3266243,1460,10,2016-05-26
Asian Life Insurance Co. Limited,19,1477,1460,1460,4736,6955158,1470,-10,2016-05-29
Asian Life Insurance Co. Limited,38,1484,1453,1478,8201,11994288,1460,18,2016-05-30
Asian Life Insurance Co. Limited,29,1490,1470,1470,7004,10339705,1478,-8,2016-05-31
Asian Life Insurance Co. Limited,22,1475,1460,1465,3566,5237994,1470,-5,2016-06-01
Asian Life Insurance Co. Limited,15,1465,1440,1444,2162,3121255,1465,-21,2016-06-02
Asian Life Insurance Co. Limited,27,1435,1400,1400,4786,6716692,1444,-44,2016-06-05
Asian Life Insurance Co. Limited,8,1428,1407,1410,575,814345,1400,10,2016-06-06
Asian Life Insurance Co. Limited,18,1448,1412,1434,4480,6418070,1410,24,2016-06-07
Asian Life Insurance Co. Limited,188,1989,1880,1880,31702,61252329,1880,0,2016-06-23
Asian Life Insurance Co. Limited,25,1485,1440,1485,8101,11922413,1434,51,2016-06-08
Asian Life Insurance Co. Limited,96,1610,1470,1575,21723,33148695,1485,90,2016-06-09
Asian Life Insurance Co. Limited,69,1600,1515,1551,17744,27980743,1575,-24,2016-06-12
Asian Life Insurance Co. Limited,63,1585,1525,1585,24210,37665887,1551,34,2016-06-13
Asian Life Insurance Co. Limited,95,1645,1590,1635,26431,42638068,1585,50,2016-06-14
Asian Life Insurance Co. Limited,156,1755,1667,1745,32064,54845457,1635,110,2016-06-15
Asian Life Insurance Co. Limited,192,1919,1779,1870,39483,73846350,1745,125,2016-06-16
Asian Life Insurance Co. Limited,128,1900,1740,1790,28046,51136409,1870,-80,2016-06-19
Asian Life Insurance Co. Limited,64,1805,1700,1733,9451,16513139,1790,-57,2016-06-20
