companyname,numberoftransaction,maxprice,minprice,closingprice,tradedshares,amount,previousclosing,difference,date
Ace Development Bank Ltd.,13,389,380,389,2984,1145477,381,8,2016-05-23
Ace Development Bank Ltd.,13,389,381,381,4989,1923399,389,-8,2016-05-24
Ace Development Bank Ltd.,5,380,375,380,2315,870700,381,-1,2016-05-25
Ace Development Bank Ltd.,13,380,371,375,5827,2182338,380,-5,2016-05-26
Ace Development Bank Ltd.,20,381,371,373,8867,3325871,375,-2,2016-05-29
Ace Development Bank Ltd.,17,380,370,380,7883,2927118,373,7,2016-05-30
Ace Development Bank Ltd.,22,383,376,380,7553,2867693,380,0,2016-05-31
Ace Development Bank Ltd.,4,375,370,374,441,164834,380,-6,2016-06-01
Ace Development Bank Ltd.,9,371,363,370,4300,1576900,374,-4,2016-06-02
Ace Development Bank Ltd.,15,373,367,367,3897,1441366,370,-3,2016-06-05
Ace Development Bank Ltd.,9,371,367,371,2799,1034462,367,4,2016-06-06
Ace Development Bank Ltd.,18,380,370,375,7411,2780873,371,4,2016-06-07
Ace Development Bank Ltd.,29,398,378,391,8758,3394094,390,1,2016-06-23
Ace Development Bank Ltd.,10,382,371,376,2857,1074010,375,1,2016-06-08
Ace Development Bank Ltd.,20,381,368,368,10207,3797662,376,-8,2016-06-09
Ace Development Bank Ltd.,12,384,372,380,11292,4262004,368,12,2016-06-12
Ace Development Bank Ltd.,19,386,375,376,8607,3263539,380,-4,2016-06-13
Ace Development Bank Ltd.,22,379,372,377,8315,3126845,376,1,2016-06-14
Ace Development Bank Ltd.,40,390,375,390,13652,5232084,377,13,2016-06-15
Ace Development Bank Ltd.,29,393,384,385,10063,3916865,390,-5,2016-06-16
Ace Development Bank Ltd.,41,412,388,388,15661,6217219,385,3,2016-06-19
Ace Development Bank Ltd.,31,402,389,394,6678,2637924,388,6,2016-06-20
Ace Development Bank Ltd.,12,397,390,391,3878,1520298,394,-3,2016-06-21
Ace Development Bank Ltd.,30,400,390,390,7639,2998972,391,-1,2016-06-22
Ace Development Bank Ltd.,17,398,381,385,5203,2013708,391,-6,2016-06-26
Ace Development Bank Ltd.,17,400,392,393,4553,1798620,385,8,2016-06-27
Ace Development Bank Ltd.,37,402,395,395,12640,5024118,393,2,2016-06-28
Ace Development Bank Ltd.,33,399,395,398,10130,4022406,395,3,2016-06-29
Ace Development Bank Ltd.,23,399,392,397,7819,3103064,398,-1,2016-06-30
Ace Development Bank Ltd.,65,420,400,405,24965,10185630,397,8,2016-07-03
Ace Development Bank Ltd.,54,418,409,410,19876,8189342,405,5,2016-07-04
Ace Development Bank Ltd.,22,415,406,413,7906,3245092,410,3,2016-07-05
Ace Development Bank Ltd.,46,420,413,416,17772,7400162,413,3,2016-07-06
Ace Development Bank Ltd.,40,424,415,424,18856,7915189,416,8,2016-07-10
Ace Development Bank Ltd.,12,432,412,412,3237,1356850,424,-12,2016-07-11
Ace Development Bank Ltd.,44,424,405,407,18552,7651722,412,-5,2016-07-12
Ace Development Bank Ltd.,28,415,392,410,5956,2374967,407,3,2016-07-13
Ace Development Bank Ltd.,17,421,412,413,4894,2032114,410,3,2016-07-14
Ace Development Bank Ltd.,22,429,407,421,6941,2901317,413,8,2016-07-17
Ace Development Bank Ltd.,38,430,418,425,13173,5617877,421,4,2016-07-18
Ace Development Bank Ltd.,43,434,424,434,12628,5424341,425,9,2016-07-19
Ace Development Bank Ltd.,38,438,428,428,14310,6174900,434,-6,2016-07-20
Ace Development Bank Ltd.,27,439,427,433,12090,5250421,428,5,2016-07-21
Ace Development Bank Ltd.,114,464,438,453,52399,23708756,433,20,2016-07-25
Ace Development Bank Ltd.,104,489,462,485,35078,16539677,453,32,2016-07-26
Ace Development Bank Ltd.,100,510,465,480,29311,14199986,485,-5,2016-07-27
Ace Development Bank Ltd.,57,491,465,473,21678,10385416,480,-7,2016-07-28
Ace Development Bank Ltd.,35,470,457,463,11094,5124467,473,-10,2016-07-31
Ace Development Bank Ltd.,56,460,435,460,18758,8357148,463,-3,2016-08-01
Ace Development Bank Ltd.,40,452,435,437,14740,6501032,460,-23,2016-08-02
Ace Development Bank Ltd.,221,480,445,453,72499,33705675,437,16,2016-08-03
Ace Development Bank Ltd.,102,457,440,440,21754,9760505,453,-13,2016-08-04
Ace Development Bank Ltd.,4,448,440,445,3439,1528472,440,5,2016-08-07
