companyname,numberoftransaction,maxprice,minprice,closingprice,tradedshares,amount,previousclosing,difference,date
Bank of Kathmandu Ltd.,7,510,473,510,4437,2248769,464,46,2016-09-28
Bank of Kathmandu Ltd.,5,561,520,561,50,27010,510,51,2016-09-29
Bank of Kathmandu Ltd.,6,617,572,617,469,288233,561,56,2016-10-02
Bank of Kathmandu Ltd.,7,678,629,678,420,283410,617,61,2016-10-03
Bank of Kathmandu Ltd.,17,745,691,745,3322,2473540,678,67,2016-10-04
Bank of Kathmandu Ltd.,1258,819,755,787,381177,298821622,745,42,2016-10-05
Bank of Kathmandu Ltd.,653,794,775,780,178136,139315580,787,-7,2016-10-06
Bank of Kathmandu Ltd.,229,780,755,764,58598,44628295,780,-16,2016-10-16
Bank of Kathmandu Ltd.,304,770,736,752,75678,56632146,764,-12,2016-10-17
Bank of Kathmandu Ltd.,246,753,715,740,51936,38553106,752,-12,2016-10-18
Bank of Kathmandu Ltd.,173,751,735,738,34634,25557977,740,-2,2016-10-19
Bank of Kathmandu Ltd.,202,744,739,741,40919,30330712,738,3,2016-10-20
Bank of Kathmandu Ltd.,230,750,723,730,48414,35292211,741,-11,2016-10-23
Bank of Kathmandu Ltd.,193,728,713,719,35840,25731388,730,-11,2016-10-24
Bank of Kathmandu Ltd.,157,730,706,720,39244,27867100,719,1,2016-10-25
Bank of Kathmandu Ltd.,170,720,707,718,36563,26063174,720,-2,2016-10-26
Bank of Kathmandu Ltd.,205,729,714,719,45651,32855530,718,1,2016-10-27
Bank of Kathmandu Ltd.,105,720,710,713,22970,16445127,719,-6,2016-11-03
Bank of Kathmandu Ltd.,153,714,705,706,49484,35049382,713,-7,2016-11-07
Bank of Kathmandu Ltd.,197,707,691,700,53317,37143505,706,-6,2016-11-08
Bank of Kathmandu Ltd.,177,700,666,688,42648,29353179,700,-12,2016-11-09
Bank of Kathmandu Ltd.,263,693,670,688,63495,43164697,688,0,2016-11-10
Bank of Kathmandu Ltd.,175,688,666,676,42870,29120790,688,-12,2016-11-13
Bank of Kathmandu Ltd.,205,705,666,698,60427,41620122,676,22,2016-11-14
Bank of Kathmandu Ltd.,257,710,692,698,66240,46245204,698,0,2016-11-15
Bank of Kathmandu Ltd.,115,700,690,691,19983,13853338,698,-7,2016-11-16
Bank of Kathmandu Ltd.,223,690,660,675,53578,36194636,691,-16,2016-11-17
Bank of Kathmandu Ltd.,346,688,638,655,77691,50652743,675,-20,2016-11-20
Bank of Kathmandu Ltd.,271,669,631,658,67806,44022568,655,3,2016-11-21
Bank of Kathmandu Ltd.,290,659,615,644,58544,37697393,658,-14,2016-11-22
Bank of Kathmandu Ltd.,402,650,620,630,77629,49037931,644,-14,2016-11-23
Bank of Kathmandu Ltd.,317,654,620,629,63443,40128467,630,-1,2016-11-24
Bank of Kathmandu Ltd.,338,635,611,617,73178,45405731,629,-12,2016-11-27
Bank of Kathmandu Ltd.,398,650,595,646,109608,67365565,617,29,2016-11-28
Bank of Kathmandu Ltd.,459,658,609,651,96962,62635770,646,5,2016-11-29
Bank of Kathmandu Ltd.,511,675,652,669,90494,60208034,651,18,2016-11-30
Bank of Kathmandu Ltd.,415,682,654,669,66851,44807863,669,0,2016-12-01
Bank of Kathmandu Ltd.,228,681,649,660,40874,27080926,669,-9,2016-12-04
Bank of Kathmandu Ltd.,240,660,646,653,45679,29750945,660,-7,2016-12-05
Bank of Kathmandu Ltd.,197,670,647,660,38914,25497642,653,7,2016-12-06
Bank of Kathmandu Ltd.,171,673,633,658,31067,20399428,660,-2,2016-12-07
Bank of Kathmandu Ltd.,150,658,650,656,20692,13528561,658,-2,2016-12-08
Bank of Kathmandu Ltd.,206,658,640,641,34307,22225577,656,-15,2016-12-11
Bank of Kathmandu Ltd.,161,648,620,637,26635,16925878,641,-4,2016-12-12
Bank of Kathmandu Ltd.,145,645,635,639,25739,16442300,637,2,2016-12-14
Bank of Kathmandu Ltd.,144,651,635,650,27803,17887178,639,11,2016-12-15
Bank of Kathmandu Ltd.,262,650,638,646,41502,26637395,650,-4,2016-12-18
Bank of Kathmandu Ltd.,196,650,636,643,34377,21994583,646,-3,2016-12-19
Bank of Kathmandu Ltd.,171,640,625,625,25930,16437553,643,-18,2016-12-20
Bank of Kathmandu Ltd.,166,627,620,621,29990,18687145,625,-4,2016-12-21
Bank of Kathmandu Ltd.,105,626,615,620,19840,12332470,621,-1,2016-12-22
Bank of Kathmandu Ltd.,260,615,600,603,55924,33782626,620,-17,2016-12-26
Bank of Kathmandu Ltd.,206,609,578,595,43724,25960533,603,-8,2016-12-27
Bank of Kathmandu Ltd.,167,607,592,600,29792,17824865,595,5,2016-12-28
Bank of Kathmandu Ltd.,223,625,596,615,42205,25813924,600,15,2016-12-29
Bank of Kathmandu Ltd.,193,631,620,625,29831,18595774,615,10,2017-01-01
Bank of Kathmandu Ltd.,214,640,623,625,37538,23650798,625,0,2017-01-02
Bank of Kathmandu Ltd.,160,627,610,612,25697,15894419,625,-13,2017-01-03
Bank of Kathmandu Ltd.,116,618,600,614,16585,10162839,612,2,2017-01-04
Bank of Kathmandu Ltd.,119,632,603,612,21291,13111973,614,-2,2017-01-05
Bank of Kathmandu Ltd.,98,614,606,613,149829,91243153,612,1,2017-01-08
Bank of Kathmandu Ltd.,76,616,610,616,14193,8704056,613,3,2017-01-09
Bank of Kathmandu Ltd.,81,626,617,621,16048,9987547,616,5,2017-01-10
Bank of Kathmandu Ltd.,78,626,619,619,11953,7429264,621,-2,2017-01-11
Bank of Kathmandu Ltd.,60,620,614,614,11035,6811290,619,-5,2017-01-12
Bank of Kathmandu Ltd.,51,616,610,612,10360,6339781,614,-2,2017-01-15
Bank of Kathmandu Ltd.,44,613,608,609,7024,4284353,612,-3,2017-01-16
Bank of Kathmandu Ltd.,73,611,600,610,19781,12020579,609,1,2017-01-17
Bank of Kathmandu Ltd.,43,613,608,611,11726,7163864,610,1,2017-01-18
Bank of Kathmandu Ltd.,56,611,601,609,9518,5793197,611,-2,2017-01-19
Bank of Kathmandu Ltd.,56,611,605,606,12086,7338585,609,-3,2017-01-22
Bank of Kathmandu Ltd.,92,607,600,603,17889,10770634,606,-3,2017-01-23
Bank of Kathmandu Ltd.,106,603,590,596,21459,12776623,603,-7,2017-01-24
Bank of Kathmandu Ltd.,106,596,578,585,18628,10866042,596,-11,2017-01-25
Bank of Kathmandu Ltd.,168,585,565,570,32501,18644181,585,-15,2017-01-26
Bank of Kathmandu Ltd.,189,573,537,540,37872,20671684,570,-30,2017-01-30
Bank of Kathmandu Ltd.,102,560,510,545,16759,8955600,540,5,2017-01-31
Bank of Kathmandu Ltd.,113,573,548,573,24179,13625747,545,28,2017-02-01
Bank of Kathmandu Ltd.,167,595,560,570,28786,16529866,573,-3,2017-02-02
Bank of Kathmandu Ltd.,81,565,553,558,8133,4548835,570,-12,2017-02-05
Bank of Kathmandu Ltd.,70,561,544,550,12842,7071894,558,-8,2017-02-06
Bank of Kathmandu Ltd.,65,550,534,548,7990,4338677,550,-2,2017-02-07
Bank of Kathmandu Ltd.,89,550,535,541,15736,8511349,548,-7,2017-02-08
Bank of Kathmandu Ltd.,143,540,525,526,24053,12776920,541,-15,2017-02-09
Bank of Kathmandu Ltd.,144,525,500,508,25795,13269350,526,-18,2017-02-12
Bank of Kathmandu Ltd.,216,527,490,525,52492,26344511,508,17,2017-02-13
Bank of Kathmandu Ltd.,158,528,512,519,26751,13932842,525,-6,2017-02-14
Bank of Kathmandu Ltd.,138,531,513,531,39286,20487911,519,12,2017-02-15
Bank of Kathmandu Ltd.,333,548,526,548,76411,40961688,531,17,2017-02-16
Bank of Kathmandu Ltd.,321,558,539,548,57690,31654601,548,0,2017-02-19
Bank of Kathmandu Ltd.,286,559,544,546,58284,32133075,548,-2,2017-02-20
Bank of Kathmandu Ltd.,247,564,539,539,43351,23744428,546,-7,2017-02-21
Bank of Kathmandu Ltd.,182,545,530,531,27687,14853621,539,-8,2017-02-22
Bank of Kathmandu Ltd.,493,536,529,529,87307,46478112,531,-2,2017-02-23
Bank of Kathmandu Ltd.,110,426,408,412,21747,9044099,430,-18,2017-02-26
Bank of Kathmandu Ltd.,73,412,401,409,13178,5361811,412,-3,2017-02-28
Bank of Kathmandu Ltd.,46,416,409,415,8384,3457952,409,6,2017-03-01
Bank of Kathmandu Ltd.,54,418,413,417,8740,3633825,415,2,2017-03-02
Bank of Kathmandu Ltd.,80,420,410,418,15674,6548196,417,1,2017-03-05
Bank of Kathmandu Ltd.,104,445,427,445,27748,12224575,434,11,2017-03-21
Bank of Kathmandu Ltd.,71,435,417,423,12979,5497401,418,5,2017-03-06
Bank of Kathmandu Ltd.,48,423,415,416,8537,3550995,423,-7,2017-03-07
Bank of Kathmandu Ltd.,32,421,415,415,4446,1850555,416,-1,2017-03-09
Bank of Kathmandu Ltd.,18,423,415,417,2969,1239109,415,2,2017-03-13
Bank of Kathmandu Ltd.,71,418,409,409,13746,5679666,417,-8,2017-03-14
Bank of Kathmandu Ltd.,37,412,406,409,8811,3614036,409,0,2017-03-15
Bank of Kathmandu Ltd.,49,417,409,411,16417,6748735,409,2,2017-03-16
Bank of Kathmandu Ltd.,71,415,409,415,22955,9484747,411,4,2017-03-19
Bank of Kathmandu Ltd.,109,438,417,434,24270,10356719,415,19,2017-03-20
Bank of Kathmandu Ltd.,171,462,435,440,32282,14648477,445,-5,2017-03-22
Bank of Kathmandu Ltd.,133,454,435,450,23724,10575205,440,10,2017-03-23
Bank of Kathmandu Ltd.,140,475,446,465,34806,16158039,450,15,2017-03-26
Bank of Kathmandu Ltd.,132,498,460,490,54876,26550543,465,25,2017-03-28
Bank of Kathmandu Ltd.,229,516,474,474,59171,29101053,490,-16,2017-03-29
Bank of Kathmandu Ltd.,112,485,463,470,30548,14443957,474,-4,2017-03-30
Bank of Kathmandu Ltd.,93,510,479,510,46216,22835590,470,40,2017-04-02
Bank of Kathmandu Ltd.,228,560,495,505,72939,38601135,510,-5,2017-04-03
Bank of Kathmandu Ltd.,142,511,496,500,39066,19711214,505,-5,2017-04-04
Bank of Kathmandu Ltd.,144,508,491,500,39265,19634485,500,0,2017-04-06
Bank of Kathmandu Ltd.,140,525,504,516,40237,20713633,500,16,2017-04-09
Bank of Kathmandu Ltd.,196,541,510,530,67764,35562651,516,14,2017-04-10
Bank of Kathmandu Ltd.,205,558,534,547,56543,30964003,530,17,2017-04-11
Bank of Kathmandu Ltd.,161,557,530,530,38975,21399528,547,-17,2017-04-12
Bank of Kathmandu Ltd.,146,539,510,529,32412,17112733,530,-1,2017-04-13
Bank of Kathmandu Ltd.,136,530,510,513,43820,22631133,529,-16,2017-04-16
Bank of Kathmandu Ltd.,148,520,496,505,29882,15111380,513,-8,2017-04-18
Bank of Kathmandu Ltd.,84,525,505,525,21860,11259709,505,20,2017-04-19
Bank of Kathmandu Ltd.,157,535,515,522,43532,22806468,525,-3,2017-04-20
Bank of Kathmandu Ltd.,189,563,522,530,50236,27031813,522,8,2017-04-23
Bank of Kathmandu Ltd.,98,530,515,516,29763,15496090,530,-14,2017-04-24
Bank of Kathmandu Ltd.,115,520,508,511,36694,18785833,516,-5,2017-04-25
Bank of Kathmandu Ltd.,88,513,504,510,31274,15885583,511,-1,2017-04-26
Bank of Kathmandu Ltd.,81,520,504,508,22245,11338734,510,-2,2017-04-27
Bank of Kathmandu Ltd.,74,514,504,510,16811,8528460,508,2,2017-04-30
Bank of Kathmandu Ltd.,114,512,500,510,33513,16912286,510,0,2017-05-02
Bank of Kathmandu Ltd.,78,524,505,508,20443,10485177,510,-2,2017-05-03
Bank of Kathmandu Ltd.,78,512,501,503,17748,8971473,508,-5,2017-05-04
Bank of Kathmandu Ltd.,79,500,490,498,25421,12530732,503,-5,2017-05-07
Bank of Kathmandu Ltd.,54,503,490,493,16141,7951360,498,-5,2017-05-08
Bank of Kathmandu Ltd.,57,502,494,497,20264,10067992,493,4,2017-05-09
Bank of Kathmandu Ltd.,88,506,498,502,24585,12302492,497,5,2017-05-11
Bank of Kathmandu Ltd.,30,512,500,503,5764,2901032,502,1,2017-05-15
Bank of Kathmandu Ltd.,56,504,494,498,10804,5375813,503,-5,2017-05-16
Bank of Kathmandu Ltd.,36,501,492,493,7338,3631507,498,-5,2017-05-17
Bank of Kathmandu Ltd.,58,493,485,492,12584,6158716,493,-1,2017-05-18
Bank of Kathmandu Ltd.,69,490,480,480,15327,7430820,492,-12,2017-05-21
Bank of Kathmandu Ltd.,88,498,455,498,77897,35754650,480,18,2017-05-22
Bank of Kathmandu Ltd.,62,498,485,492,16724,8233975,498,-6,2017-05-23
Bank of Kathmandu Ltd.,45,490,483,490,8857,4311429,492,-2,2017-05-24
Bank of Kathmandu Ltd.,106,485,477,480,29795,14344462,490,-10,2017-05-28
Bank of Kathmandu Ltd.,91,480,470,471,34372,16260319,480,-9,2017-05-30
Bank of Kathmandu Ltd.,137,480,460,470,61568,28768412,471,-1,2017-05-31
Bank of Kathmandu Ltd.,146,479,465,470,51745,24382793,470,0,2017-06-01
Bank of Kathmandu Ltd.,125,479,460,465,25983,12104217,470,-5,2017-06-04
Bank of Kathmandu Ltd.,102,479,458,472,36567,17129558,465,7,2017-06-05
Bank of Kathmandu Ltd.,117,490,466,490,29021,13791878,472,18,2017-06-06
Bank of Kathmandu Ltd.,166,495,470,477,32131,15411937,490,-13,2017-06-07
Bank of Kathmandu Ltd.,62,479,473,473,12984,6174721,477,-4,2017-06-08
Bank of Kathmandu Ltd.,99,470,457,463,15500,7184362,473,-10,2017-06-11
Bank of Kathmandu Ltd.,86,468,452,460,16267,7497170,463,-3,2017-06-12
Bank of Kathmandu Ltd.,56,470,461,469,11297,5264044,460,9,2017-06-13
