companyname,numberoftransaction,maxprice,minprice,closingprice,tradedshares,amount,previousclosing,difference,date
Agriculture Development Bank Limited,40,690,677,685,14290,9764487,680,5,2016-05-23
Agriculture Development Bank Limited,49,695,685,690,7665,5286530,685,5,2016-05-24
Agriculture Development Bank Limited,43,692,671,682,13438,9073302,690,-8,2016-05-25
Agriculture Development Bank Limited,25,689,657,679,5751,3902538,682,-3,2016-05-26
Agriculture Development Bank Limited,42,679,660,679,10097,6749106,679,0,2016-05-29
Agriculture Development Bank Limited,31,679,665,666,6432,4287041,679,-13,2016-05-30
Agriculture Development Bank Limited,33,667,653,659,7732,5098912,666,-7,2016-05-31
Agriculture Development Bank Limited,51,665,648,656,10461,6845190,659,-3,2016-06-01
Agriculture Development Bank Limited,60,682,656,668,14888,9934706,656,12,2016-06-02
Agriculture Development Bank Limited,63,674,650,668,8658,5735256,668,0,2016-06-05
Agriculture Development Bank Limited,25,670,647,670,4113,2726752,668,2,2016-06-06
Agriculture Development Bank Limited,31,680,661,677,9201,6186237,670,7,2016-06-07
Agriculture Development Bank Limited,33,720,696,702,6052,4275171,720,-18,2016-06-23
Agriculture Development Bank Limited,59,689,676,677,11892,8086110,677,0,2016-06-08
Agriculture Development Bank Limited,45,694,677,677,7948,5422602,677,0,2016-06-09
Agriculture Development Bank Limited,19,689,668,675,4476,3027832,677,-2,2016-06-12
Agriculture Development Bank Limited,151,710,680,700,40671,28383419,675,25,2016-06-13
Agriculture Development Bank Limited,106,725,710,721,35182,25298420,700,21,2016-06-14
Agriculture Development Bank Limited,42,723,712,720,11057,7937373,721,-1,2016-06-15
Agriculture Development Bank Limited,49,722,697,713,14568,10267030,720,-7,2016-06-16
Agriculture Development Bank Limited,36,714,693,705,18341,12933260,713,-8,2016-06-19
Agriculture Development Bank Limited,50,710,697,700,10740,7545962,705,-5,2016-06-20
Agriculture Development Bank Limited,40,720,700,703,9949,7022531,700,3,2016-06-21
Agriculture Development Bank Limited,37,728,706,720,11454,8181899,703,17,2016-06-22
Agriculture Development Bank Limited,36,712,703,710,7223,5121182,702,8,2016-06-26
Agriculture Development Bank Limited,77,739,713,739,22093,15966204,710,29,2016-06-27
Agriculture Development Bank Limited,49,735,721,735,12542,9154895,739,-4,2016-06-28
Agriculture Development Bank Limited,32,732,724,727,10899,7932804,735,-8,2016-06-29
Agriculture Development Bank Limited,62,729,716,722,19936,14451845,727,-5,2016-06-30
Agriculture Development Bank Limited,47,720,713,719,11526,8282487,722,-3,2016-07-03
Agriculture Development Bank Limited,50,730,710,730,5677,4087850,719,11,2016-07-04
Agriculture Development Bank Limited,68,750,713,745,20430,14750377,730,15,2016-07-05
Agriculture Development Bank Limited,91,775,743,761,24816,18965190,745,16,2016-07-06
Agriculture Development Bank Limited,36,765,740,761,4691,3548440,761,0,2016-07-10
Agriculture Development Bank Limited,114,789,761,777,27375,21279724,761,16,2016-07-11
Agriculture Development Bank Limited,58,784,720,766,8705,6641752,777,-11,2016-07-12
Agriculture Development Bank Limited,46,768,740,760,10620,8007271,766,-6,2016-07-13
Agriculture Development Bank Limited,48,775,755,768,11763,8998421,760,8,2016-07-14
Agriculture Development Bank Limited,184,844,765,844,46553,38156850,768,76,2016-07-17
Agriculture Development Bank Limited,104,865,814,833,28713,24282672,844,-11,2016-07-18
Agriculture Development Bank Limited,203,899,830,888,53355,46055239,833,55,2016-07-19
Agriculture Development Bank Limited,272,976,900,976,73449,70610321,888,88,2016-07-20
Agriculture Development Bank Limited,200,1010,954,984,43680,42840235,976,8,2016-07-21
Agriculture Development Bank Limited,252,1065,985,1065,63729,64132381,984,81,2016-07-25
Agriculture Development Bank Limited,200,1113,1045,1082,37909,40983128,1065,17,2016-07-26
Agriculture Development Bank Limited,169,1099,1035,1081,40667,43100183,1082,-1,2016-07-27
Agriculture Development Bank Limited,143,1069,1029,1060,33191,34914371,1081,-21,2016-07-28
Agriculture Development Bank Limited,128,1068,1020,1038,28865,29774506,1060,-22,2016-07-31
Agriculture Development Bank Limited,154,1050,995,1030,33867,34223095,1038,-8,2016-08-01
Agriculture Development Bank Limited,141,1015,1000,1000,58079,58488030,1030,-30,2016-08-02
Agriculture Development Bank Limited,100,1019,982,1002,23444,23497177,1000,2,2016-08-03
Agriculture Development Bank Limited,143,995,955,970,30904,30373426,1002,-32,2016-08-04
Agriculture Development Bank Limited,136,1006,970,972,25130,25039877,970,2,2016-08-07
Agriculture Development Bank Limited,76,965,901,905,16460,15371467,972,-67,2016-08-08
Agriculture Development Bank Limited,16,995,923,995,3567,3473347,905,90,2016-08-09
Agriculture Development Bank Limited,191,1020,936,1010,53909,53784988,995,15,2016-08-10
Agriculture Development Bank Limited,145,1020,992,1020,33089,33098281,1010,10,2016-08-11
Agriculture Development Bank Limited,94,1001,955,968,20556,20035729,1020,-52,2016-08-14
Agriculture Development Bank Limited,144,1006,946,970,27993,27328435,968,2,2016-08-15
Agriculture Development Bank Limited,81,1005,985,999,19708,19578397,999,0,2016-08-31
Agriculture Development Bank Limited,141,1001,970,985,30158,29962681,970,15,2016-08-16
Agriculture Development Bank Limited,123,1010,972,1000,16569,16601481,985,15,2016-08-17
Agriculture Development Bank Limited,74,1013,985,995,8813,8816939,1000,-5,2016-08-21
Agriculture Development Bank Limited,64,1000,962,964,6697,6511253,995,-31,2016-08-22
Agriculture Development Bank Limited,80,983,948,970,12823,12308227,964,6,2016-08-23
Agriculture Development Bank Limited,68,984,951,970,7338,7059284,970,0,2016-08-24
Agriculture Development Bank Limited,57,980,958,965,5090,4924410,970,-5,2016-08-28
Agriculture Development Bank Limited,82,995,965,983,14088,13758972,965,18,2016-08-29
Agriculture Development Bank Limited,82,1002,983,999,16862,16755667,983,16,2016-08-30
Agriculture Development Bank Limited,115,1010,990,998,15887,15973715,999,-1,2016-09-01
Agriculture Development Bank Limited,85,1029,989,1020,13611,13681335,998,22,2016-09-04
Agriculture Development Bank Limited,159,1056,1020,1043,34803,36427617,1020,23,2016-09-05
Agriculture Development Bank Limited,106,1055,1011,1028,25608,26702176,1043,-15,2016-09-06
Agriculture Development Bank Limited,278,1065,1011,1065,62511,65481612,1028,37,2016-09-07
Agriculture Development Bank Limited,90,1058,1040,1054,15717,16504253,1065,-11,2016-09-08
Agriculture Development Bank Limited,151,1075,1042,1050,29449,30976283,1054,-4,2016-09-11
